Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Status
GOOG_Search_NonBrand_PMB_2026,Kampus Pembanding,universitas slamet riyadi,Exact,6000,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Pembanding,unisri surakarta,Exact,6000,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Pembanding,universitas duta bangsa,Exact,6000,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Pembanding,duta bangsa surakarta,Exact,6000,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Pembanding,universitas setia budi,Exact,6000,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Pembanding,universitas surakarta,Exact,6000,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Pembanding,unsa surakarta,Exact,6000,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Pembanding,universitas tunas pembangunan,Exact,6000,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Pembanding,universitas muhammadiyah surakarta,Exact,5500,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Pembanding,ums surakarta,Exact,5500,https://www.daftaruniba.site/,Enabled
